C,gamma,cv_mean,cv_std,cv_min,cv_max
7.9,0.014,0.8438471233360805,0.008262699118778494,0.8287356281010063,0.8577863984190567
7.8,0.014,0.843841817657503,0.008385028510316181,0.8281666976745863,0.8583211215222967
7.9,0.01425,0.8438331068161925,0.008465477769555906,0.8287791945791818,0.8594502706470232
8.0,0.014,0.8438101898972762,0.0082264790723589,0.8287356281010063,0.8583145226716455
7.4,0.01475,0.8437908438492604,0.00865130452754613,0.8271524659600858,0.85892943088653
7.8,0.01425,0.8437885394024925,0.008211654926961402,0.8293396160423627,0.8588992177022086
7.6,0.01425,0.8437646820519443,0.008368245458648838,0.8281744565198303,0.8583211215222967
8.4,0.01375,0.8437548291807709,0.007920045467759236,0.829331680767027,0.8578162360689109
8.6,0.01375,0.8437207212742523,0.008152569995581883,0.8275999048806344,0.8572533250138739
8.0,0.01425,0.8437173774402568,0.008267701518531085,0.8282132956395107,0.8578807614229916
8.1,0.014,0.8437109481365498,0.008109095307170373,0.829331680767027,0.8577863984190567
8.1,0.01375,0.8437034286996871,0.008219256022101901,0.8281666976745863,0.8577863984190567
8.2,0.014,0.8437029005239459,0.008208382050619833,0.8287715758331167,0.8578162360689109
7.8,0.01475,0.8436846557808766,0.008091044307933788,0.829417272079646,0.8573178146538161
7.7,0.0145,0.8436836488334455,0.008472035360458133,0.8276873340655544,0.85892943088653
7.9,0.0145,0.8436809234454068,0.00802626156985756,0.8287723865646884,0.8567964999828186
7.7,0.01425,0.8436744974626583,0.008291373022858466,0.8287356281010063,0.8588992177022086
8.2,0.01375,0.8436669784139041,0.008193310562296462,0.828727553864963,0.8577863984190567
8.0,0.01375,0.8436580564715618,0.00798324440398885,0.8281666976745863,0.8572085151295569
8.25,0.014,0.8436574352100324,0.0080924982639611,0.8287715758331167,0.8578162360689109
7.6,0.0145,0.8436483516689612,0.008353636029665004,0.8282529985448988,0.8583785605849774
8.5,0.01375,0.8436464658293866,0.007914482213602764,0.829331680767027,0.8578162360689109
8.0,0.0145,0.8436438412404531,0.0079954274559341,0.8299436072873447,0.8573178146538161
7.5,0.0145,0.8436386425799568,0.0082990099148203,0.8282094320667233,0.8583785605849774
7.5,0.01425,0.8436300981599719,0.008183407378189294,0.8276676779956351,0.8572284658112255
8.4,0.014,0.8436262805418966,0.008132119397045003,0.828764553127447,0.856732619637012
7.5,0.01475,0.8436172209258875,0.008583471814589953,0.8271524659600858,0.8584079880008112
7.6,0.01475,0.8436131446195883,0.008326813514613932,0.8282770516870659,0.8573240239894143
8.2,0.01425,0.8435953396193221,0.008124547259124964,0.828764553127447,0.856732619637012
7.75,0.014,0.843586079212234,0.0082047333946975,0.8281666976745863,0.8572159387752951
8.5,0.014,0.8435854346683184,0.0081439896873649,0.828764553127447,0.856732619637012
8.5,0.0135,0.8435805466729096,0.0078731601882682,0.829247628332805,0.8572227005611085
8.6,0.0135,0.8435749487204647,0.007690364454380056,0.829247628332805,0.856702154191856
7.9,0.01475,0.8435749045996388,0.008074418568706566,0.8294092470675525,0.8573178146538161
8.85,0.0135,0.8435605978341558,0.0081211429387145,0.8281615148261131,0.8570474239729176
8.75,0.0135,0.8435569421622097,0.0077969707061748,0.829247628332805,0.8572533250138739
8.25,0.0135,0.8435507493317719,0.0079265545133184,0.8275491188243621,0.8566448571730014
8.3,0.01375,0.8435496414034954,0.00794376199639641,0.829331680767027,0.8572658121484114
8.75,0.014,0.8435417645938429,0.0079901907925142,0.829330592166297,0.856732619637012
8.4,0.0135,0.8435413637487943,0.008174639453858438,0.8280817288022742,0.8577425876531161
7.75,0.0145,0.8435297833260766,0.008463200323333,0.8276873340655544,0.8578864888612565
8.1,0.0145,0.8435283237076708,0.007988511059667561,0.8297285597130445,0.8573178146538161
8.3,0.0135,0.843514116569776,0.007991581272850937,0.8280686303730189,0.8572227005611085
